RagioneSociale,CF,RegisteredOffice,ZipCode,digitalAddress,vatNumber
DE LEONI INFORMATICA s.r.l.,2153830597,,,,2153830597
Dedagroup Public Services S.R.L.,1727860221,,,,1727860221
DEGVOICE S.R.L.,3785250980,,,,3785250980
Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585,,,,80243510585
DITECH srl,9043181008,,,,9043181008
Djungle S.r.l. A Socio Unico,11759750018,,,,11759750018
DOJO Srl,5775200651,,,,5775200651
Donacod s.r.l.,10337950967,,,,10337950967
Dromedian S.r.l.,2147390690,,,,2147390690
E-Fil S.r.l.,3789750100,,,,3789750100
e-SED Società Cooperativa,2695640421,,,,2695640421
E.P.S. ENTERPRISE PROCESS SOLUTIONS S.R.L.,4772390961,,,,4772390961
EASYWAY TECHNOLOGY SRL,8789571216,,,,8789571216
ECHO Sistemi srl,1053340897,,,,1053340897
Engineering Ingegneria Informatica SpA,967720285,,,,967720285
Enterprise Services Italia S.r.l.,282140029,,,,282140029
Epublic,1902060035,,,,1902060035
ERAMUS SRL,10241261006,,,,10241261006
eRemind srl – PMPAY,11311050964,,,,11311050964
ETESI SRL,2281730842,,,,2281730842
Etruria p.a. S.r.l.,5883740481,,,,5883740481
Exetesis srl,1156370114,,,,1156370114
FindMyLost s.r.l.,9405890964,,,,9405890964
Fintel Engineering S.r.l.,2520050309,,,,2520050309
FlagPay Srl,7783530962,,,,7783530962
Flynet Comunicazioni s.r.l.,3043220833,,,,3043220833
Gestione Servizi SpA,5512020727,,,,5512020727
Halley Informatica,384350435,,,,384350435
Halley Lombardia,1343230130,,,,1343230130
Hera S.p.A.,4245520376,,,,4245520376
Hpa Srls,2989240649,,,,2989240649
HYKSOS SRL,3642220267,,,,3642220267
I&S Informatica e Servizi s.r.l.,665230223,,,,665230223
iBill S.r.l,14045401008,,,,14045401008
ICCREA Banca SpA,4774801007,,,,4774801007
Icsone srl,4595540750,,,,4595540750
Ikonika S.r.l.,4354060610,,,,4354060610
INFORMATIC ALL SRL,3890340288,,,,3890340288
Infosys S.r.l.,2294060799,,,,2294060799
Innovation Consulting Gmbh (Srl),3067310213,,,,3067310213
INTEGRAA SRL,7783411213,,,,7783411213
Intesa Sanpaolo SPA,799960158,,,,799960158
ISWEB S.p.A.,1722270665,,,,1722270665
Italriscossioni Società Italiana di Fiscalità Locale S.r.l.,6092371001,,,,6092371001
ITALSET SRL,3890260759,,,,3890260759
Jarvit S.r.L.,3610910790,,,,3610910790
KOINE' SRL,1934790971,,,,1934790971
Lenis Srl,6449120481,,,,6449120481
Lepida Spa,2770891204,,,,2770891204
Linea Comune Spa,5591950489,,,,5591950489
Link.it s.r.l.,1313050500,,,,1313050500
Madisoft S.p.A.,1818840439,,,,1818840439
Maggioli SPA,6188330150,,,,6188330150
Meditec SRL,1855640510,,,,1855640510
MEG TRIBUTI S.p.A.,16215731007,,,,16215731007
MegASP S.r.l.,9898030151,,,,9898030151
Mercurio Service spa,1413270669,,,,1413270669
Microdisegno srl,5102090155,,,,5102090155
MIT SERVIZI SRL,4225880279,,,,4225880279
MSPAY SRL,2091420667,,,,2091420667
N.E.C. s.r.l.,1900710854,,,,1900710854
Netalia S.r.l.,2009160991,,,,2009160991
NETTuno S.r.l.,5600060965,,,,5600060965
NEWBIT,3285480285,,,,3285480285
Nexi Payments S.p.A,10542790968,,,,10542790968
Nexi SpA,13212880150,,,,13212880150
Next Step Solution,2554480349,,,,2554480349
Nivi S.p.A.,4105740486,,,,4105740486
NORDCOM,13384100155,,,,13384100155
Novares Spa,12105121003,,,,12105121003
Noviservice srl,2789990922,,,,2789990922
Numera Sistemi e Informatica SpA,1265230902,,,,1265230902
Open Software S.r.l.,2810000279,,,,2810000279
Optimia Srls,10893490960,,,,10893490960
Orio Servizi srl,3393910165,,,,3393910165
Ovunque srl,1874810995,,,,1874810995
P.A. Digitale spa,6628860964,,,,6628860964
P.R.T. S.p.A.,487700015,,,,487700015
PagoPA SpA,15376371009,,,,15376371009
Partner Tech Test,3000000001,,,,3000000001
Pasubio Tecnologia srl,2373540240,,,,2373540240
Pegaso S.r.l.,1673480602,,,,1673480602
Phoenix IT Solutions S.r.L,7623321218,,,,7623321218
PlaNet S.r.l. Sistemi informatici,4809530480,,,,4809530480
PMPay s.r.l.,8747230962,,,,8747230962
Poste Italiane S.P.A.,97103880585,,,,97103880585
Prime Srl,2878030606,,,,2878030606
Progetti e Soluzioni SPA,6423240727,,,,6423240727
Progetto 2000 Group s.r.l.,6309130158,,,,6309130158
Publiservizi srl,3218060659,,,,3218060659
Publisys SPA,975860768,,,,975860768
Safety21 Spa,13365760159,,,,13365760159
San Marco SPA,4142440728,,,,4142440728
Servizi Locali SpA,3170580751,,,,3170580751
SETEC S.r.l.,9374391002,,,,9374391002
Si.Form Consulting srl,3943960827,,,,3943960827
SI.net Servizi Informatici S.r.L.,2743730125,,,,2743730125
SIMNT srl,4863810729,,,,4863810729
SINERGIE ATTIVE di MASSIMILIANO DI LULLO,12918061008,,,,12918061008
Sintax s.r.l.,2177970783,,,,2177970783
Siscom SPA,1778000040,,,,1778000040
SM SRL - SERVICEMATICA,4335070274,,,,4335070274
SmartHospital S.r.l.,2644830693,,,,2644830693
Smityx SRLs,4402990719,,,,4402990719
So.Te.I. Srl,2304550615,,,,2304550615
Società Almaviva S.p.A.,8450891000,,,,8450891000
Softline srl,12299030150,,,,12299030150
Software Consulitng S.r.l,4888921006,,,,4888921006
Sogei S.p.A,2327910580,,,,2327910580
Studi e Servizi alle Imprese S.r.l.,1528980855,,,,1528980855
SUSA SERVIZI TRIBUTARI S.R.L.,2510070903,,,,2510070903
SWD Group S.r.l.,3257851208,,,,3257851208
Technical Design s.r.l.,595270042,,,,595270042
Traffic Tecnology SpA,3298520242,,,,3298520242
Trisoft Executive Services S.R.L.,8102710012,,,,8102710012
UBI Banca,3053920165,,,,3053920165
"Unicredit, Societa' per Azioni",348170101,,,,348170101
UNIMATICA-RGI S.p.A.,2098391200,,,,2098391200
W.B.S.S. WEB BASED SOFTWARE SOLUTION DI BATTISTI ALESSANDRO,2753060595,,,,2753060595
WAN S.r.l.,3805290040,,,,3805290040
WEBLOOM S.r.L.,6457411004,,,,6457411004
WEMAPP SRLS,1931590762,,,,1931590762
Wrapper MyBank,97735020584,,,,97735020584
X DATANET S.R.L.,2488360369,,,,2488360369
Xevolab S.R.L,5273220268,,,,5273220268
ZIPPILLI GIAMPIERO,2018040671,,,,2018040671
Abaco Spa,2391510266,,,,2391510266
Agenzia delle Entrate - Riscossione,13756881002,,,,13756881002
Agenzia Italiana del Farmaco - AIFA,97345810580,,,,97345810580
Agenzia regionale dell'Abruzzo per la Committenza,91022630676,,,,91022630676
Alto Adige Riscossioni Spa,2805390214,,,,2805390214
ANDREANI TRIBUTI srl,1412920439,,,,1412920439
Automobile Club d'Italia,493410583,,,,493410583
Citta' Metropolitana di Roma Capitale,80034390585,,,,80034390585
Comune di Catania,137020871,,,,137020871
Comune di Genova,856930102,,,,856930102
Comune di Napoli,80014890638,,,,80014890638
Comune di Palermo,80016350821,,,,80016350821
CRESET Crediti Servizi e Tecnologie Spa,868170143,,,,868170143
Federsanità Servizi srl,1924240979,,,,1924240979
I.C.A. Imposte Comunali Affini Srl,2478610583,,,,2478610583
Iren Mercato S.p.A.,1178580997,,,,1178580997
Magif Servizi S.r.l.,1257860567,,,,1257860567
MIMIT - Ministero delle Imprese e del Made in Italy,80230390587,,,,80230390587
Ministero dell'istruzione e del merito,80185250588,,,,80185250588
Ministero della Cultura,97830880585,,,,97830880585
Ministero delle infrastrutture e dei trasporti,97532760580,,,,97532760580
MUNICIPIA S.P.A.,1973900838,,,,1973900838
Provincia Autonoma di Trento,337460224,,,,337460224
Publiacqua SpA,5040110487,,,,5040110487
Regione Autonoma della Sardegna,80002870923,,,,80002870923
Regione Autonoma Friuli-Venezia Giulia,80014930327,,,,80014930327
Regione Autonoma Valle D'Aosta,80002270074,,,,80002270074
Regione Basilicata,80002950766,,,,80002950766
Regione Calabria,2205340793,,,,2205340793
Regione Campania,80011990639,,,,80011990639
Regione del Veneto,80007580279,,,,80007580279
Regione Lazio,80143490581,,,,80143490581
Regione Liguria,849050109,,,,849050109
Regione Lombardia,80050050154,,,,80050050154
Regione Marche,80008630420,,,,80008630420
Regione Piemonte,80087670016,,,,80087670016
Regione Puglia,80017210727,,,,80017210727
Regione Toscana,1386030488,,,,1386030488
Regione Umbria,80000130544,,,,80000130544
ROMA CAPITALE,2438750586,,,,2438750586
S.T.E.P. SRL,2104860909,,,,2104860909
Servizio Elettrico Nazionale SpA (SEN),9633951000,,,,9633951000
SILFI Spa,6625660482,,,,6625660482
SO.G.E.T. S.P.A.,1807790686,,,,1807790686
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1484460587,,,,1484460587
