ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
Comune di Neviglie,00511050049,PagoPA SpA,15376371009
Comune di Niardo,81002370179,PagoPA SpA,15376371009
Comune di Niardo,81002370179,Regione Lombardia,80050050154
Comune di Niardo,81002370179,Maggioli SPA,06188330150
Comune di Nibbiano,00223760331,Lepida Spa,02770891204
Comune di Nibbiola,00417260031,Siscom SPA,01778000040
Comune di Nibbiola,00417260031,Poste Italiane S.P.A.,97103880585
Comune di Nibbiola,00417260031,Technical Design s.r.l.,00595270042
Comune di Nibbiola,00417260031,PagoPA SpA,15376371009
Comune di Nibionno,82002070132,PagoPA SpA,15376371009
Comune di Nibionno,82002070132,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",00053810149
Comune di Nibionno,82002070132,Next Step Solution,02554480349
Comune di Nibionno,82002070132,Regione Lombardia,80050050154
Comune di Nibionno,82002070132,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Nibionno,82002070132,San Marco SPA,04142440728
Comune di Nibionno,82002070132,ARCA Servizi s.r.l,09106071005
Comune di Nichelino,94031420014,Regione Piemonte,80087670016
Comune di Nichelino,94031420014,PagoPA SpA,15376371009
Comune di Nicolosi,00147070874,PagoPA SpA,15376371009
Comune di Nicolosi,00147070874,ANCITEL,07196850585
Comune di Nicolosi,00147070874,eRemind srl – PMPAY,11311050964
Comune di Nicolosi,00147070874,Maggioli SPA,06188330150
Comune di Nicorvo,83001190186,PagoPA SpA,15376371009
Comune di Nicorvo,83001190186,CREDEMTEL SpA,01378570350
Comune di Nicosia,81002210862,Maggioli SPA,06188330150
Comune di Nicosia,81002210862,PagoPA SpA,15376371009
Comune di Nicosia,81002210862,P.A. Digitale spa,06628860964
Comune di Nicosia,81002210862,Advanced Systems S.p.A.,03383350638
Comune di Nicotera,00392000790,UNIMATICA-RGI S.p.A.,02098391200
Comune di Nicotera,00392000790,PagoPA SpA,15376371009
Comune di Nicotera,00392000790,Poste Italiane S.P.A.,97103880585
Comune di Nicotera,00392000790,ASSIST SPA,10596000017
Comune di Nicotera,00392000790,Next Step Solution,02554480349
Comune di Niella Belbo,00404550048,Siscom SPA,01778000040
Comune di Niella Belbo,00404550048,PagoPA SpA,15376371009
Comune di Niella Tanaro,84005330042,Siscom SPA,01778000040
Comune di Niella Tanaro,84005330042,PagoPA SpA,15376371009
Comune di Nimis,00392120309,Optimia Srls,10893490960
Comune di Nimis,00392120309,PagoPA SpA,15376371009
Comune di Nimis,00392120309,CREDEMTEL SpA,01378570350
Comune di Nimis,00392120309,Regione Autonoma Friuli-Venezia Giulia,80014930327
Comune di Niscemi,82002100855,PagoPA SpA,15376371009
Comune di Niscemi,82002100855,Poste Italiane S.P.A.,97103880585
Comune di Niscemi,82002100855,Novares Spa,12105121003
Comune di Niscemi,82002100855,APKAPPA S.R.L.,08543640158
Comune di Nissoria,00058880865,PagoPA SpA,15376371009
Comune di Nissoria,00058880865,APKAPPA S.R.L.,08543640158
Comune di Nizza di Sicilia,00330820838,Siscom SPA,01778000040
Comune di Nizza di Sicilia,00330820838,PagoPA SpA,15376371009
Comune di Nizza di Sicilia,00330820838,E-Fil S.r.l.,03789750100
Comune di Nizza di Sicilia,00330820838,ARCA Servizi s.r.l,09106071005
Comune di Nizza Monferrato,00173660051,PagoPA SpA,15376371009
Comune di Nizza Monferrato,00173660051,Abaco Spa,02391510266
Comune di Nizza Monferrato,00173660051,E-Fil S.r.l.,03789750100
Comune di Nizza Monferrato,00173660051,APKAPPA S.R.L.,08543640158
Comune di Noale,82002870275,PagoPA SpA,15376371009
Comune di Noale,82002870275,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Noale,82002870275,Novares Spa,12105121003
Comune di Noale,82002870275,CREDEMTEL SpA,01378570350
Comune di Noale,82002870275,Regione del Veneto,80007580279
Comune di Noasca,83500090010,PagoPA SpA,15376371009
Comune di Nocciano,00221360688,PagoPA SpA,15376371009
Comune di Nocciano,00221360688,Maggioli SPA,06188330150
Comune di Nocera Inferiore,00221880651,PagoPA SpA,15376371009
Comune di Nocera Inferiore,00221880651,Advanced Systems S.p.A.,03383350638
Comune di Nocera Inferiore,00221880651,Progetti e Soluzioni SPA,06423240727
Comune di Nocera Inferiore,00221880651,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Nocera Inferiore,00221880651,Dedagroup Public Services S.R.L.,01727860221
Comune di Nocera Superiore,00231450651,PagoPA SpA,15376371009
Comune di Nocera Superiore,00231450651,Maggioli SPA,06188330150
Comune di Nocera Superiore,00231450651,Advanced Systems S.p.A.,03383350638
Comune di Nocera Superiore,00231450651,Progetti e Soluzioni SPA,06423240727
Comune di Nocera Superiore,00231450651,Regione del Veneto,80007580279
Comune di Nocera Terinese,00297930794,PagoPA SpA,15376371009
Comune di Nocera Terinese,00297930794,Regione Calabria,02205340793
Comune di Nocera Terinese,00297930794,E-Fil S.r.l.,03789750100
Comune di Nocera Terinese,00297930794,Next Step Solution,02554480349
Comune di Nocera Umbra,00417870540,Regione Umbria,80000130544
Comune di Nocera Umbra,00417870540,PagoPA SpA,15376371009
Comune di Nocera Umbra,00417870540,CREDEMTEL SpA,01378570350
Comune di Noceto,00166930347,PagoPA SpA,15376371009
Comune di Noceto,00166930347,Lepida Spa,02770891204
Comune di Noceto,00166930347,Next Step Solution,02554480349
Comune di Noci,82001750726,PagoPA SpA,15376371009
Comune di Noci,82001750726,ASSIST SPA,10596000017
Comune di Noci,82001750726,Regione Puglia,80017210727
Comune di Nociglia,83000830758,PagoPA SpA,15376371009
Comune di Nociglia,83000830758,Regione Puglia,80017210727
Comune di Noepoli,82000470763,PagoPA SpA,15376371009
Comune di Noepoli,82000470763,Maggioli SPA,06188330150
Comune di Noepoli,82000470763,Dedagroup Public Services S.R.L.,01727860221
Comune di Noepoli,82000470763,Regione Basilicata,80002950766
Comune di Nogara,80009120231,PagoPA SpA,15376371009
Comune di Nogara,80009120231,Maggioli SPA,06188330150
Comune di Nogara,80009120231,Regione del Veneto,80007580279
Comune di Nogara,80009120231,Advanced Systems S.p.A.,03383350638
Comune di Nogara,80009120231,CREDEMTEL SpA,01378570350
Comune di Nogara,80009120231,E-Fil S.r.l.,03789750100
Comune di Nogara,80009120231,Progetti e Soluzioni SPA,06423240727
Comune di Nogaredo,00270850225,Provincia Autonoma di Trento,00337460224
Comune di Nogaredo,00270850225,PagoPA SpA,15376371009
Comune di Nogaredo,00270850225,Dedagroup Public Services S.R.L.,01727860221
Comune di Nogarole Rocca,00645290230,PagoPA SpA,15376371009
Comune di Nogarole Rocca,00645290230,Regione del Veneto,80007580279
Comune di Nogarole Rocca,00645290230,eRemind srl – PMPAY,11311050964
Comune di Nogarole Rocca,00645290230,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Nogarole Rocca,00645290230,Intesa Sanpaolo SPA,00799960158
Comune di Nogarole Vicentino,81001210244,PagoPA SpA,15376371009
Comune di Nogarole Vicentino,81001210244,Regione del Veneto,80007580279
Comune di Noicattaro,05165930727,PagoPA SpA,15376371009
Comune di Noicattaro,05165930727,Regione Puglia,80017210727
Comune di Noicattaro,05165930727,Servizi Locali SpA,03170580751
Comune di Noicattaro,05165930727,Progetti e Soluzioni SPA,06423240727
Comune di Noicattaro,05165930727,Dedagroup Public Services S.R.L.,01727860221
Comune di Nola,84003330630,PagoPA SpA,15376371009
Comune di Nola,84003330630,P.A. Digitale spa,06628860964
Comune di Nola,84003330630,Advanced Systems S.p.A.,03383350638
Comune di Nola,84003330630,Publiservizi srl,03218060659
Comune di Nola,84003330630,eRemind srl – PMPAY,11311050964
Comune di Nola,84003330630,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Nole,01282670015,UNIMATICA-RGI S.p.A.,02098391200
Comune di Nole,01282670015,PagoPA SpA,15376371009
Comune di Nole,01282670015,Maggioli SPA,06188330150
Comune di Nole,01282670015,Siscom SPA,01778000040
Comune di Nole,01282670015,Progetti e Soluzioni SPA,06423240727
Comune di Nole,01282670015,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Noli,00296990096,PagoPA SpA,15376371009
Comune di Noli,00296990096,Maggioli SPA,06188330150
Comune di Noli,00296990096,Poste Italiane S.P.A.,97103880585
Comune di Noli,00296990096,Advanced Systems S.p.A.,03383350638
Comune di Noli,00296990096,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Noli,00296990096,Regione Liguria,00849050109
Comune di Nomaglio,84003390014,Siscom SPA,01778000040
Comune di Nomaglio,84003390014,PagoPA SpA,15376371009
Comune di Nomi,85005290227,Provincia Autonoma di Trento,00337460224
Comune di Nomi,85005290227,PagoPA SpA,15376371009
Comune di Nomi,85005290227,Dedagroup Public Services S.R.L.,01727860221
Comune di Nonantola,00237070362,PagoPA SpA,15376371009
Comune di Nonantola,00237070362,Lepida Spa,02770891204
Comune di Nonantola,00237070362,ANDREANI TRIBUTI srl,01412920439
Comune di Nonantola,00237070362,Abaco Spa,02391510266
Comune di Nonantola,00237070362,Next Step Solution,02554480349
Comune di None,85003190015,Siscom SPA,01778000040
Comune di None,85003190015,PagoPA SpA,15376371009
Comune di None,85003190015,S.T.E.P. SRL,02104860909
Comune di None,85003190015,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Nonio,00430230037,Siscom SPA,01778000040
Comune di Nonio,00430230037,PagoPA SpA,15376371009
Comune di Nonio,00430230037,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Noragugume,83000470910,PagoPA SpA,15376371009
Comune di Noragugume,83000470910,Regione Autonoma della Sardegna,80002870923
Comune di Noragugume,83000470910,Numera Sistemi e Informatica SpA,01265230902
Comune di Norbello,00077710952,PagoPA SpA,15376371009
Comune di Norbello,00077710952,Poste Italiane S.P.A.,97103880585
Comune di Norbello,00077710952,Novares Spa,12105121003
Comune di Norbello,00077710952,Regione Autonoma della Sardegna,80002870923
Comune di Norbello,00077710952,Progetti e Soluzioni SPA,06423240727
Comune di Norcia,84002650541,Regione Umbria,80000130544
Comune di Norcia,84002650541,PagoPA SpA,15376371009
Comune di Nosate,03606860157,Siscom SPA,01778000040
Comune di Nosate,03606860157,PagoPA SpA,15376371009
Comune di Nosate,03606860157,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Notaresco,81000390674,PagoPA SpA,15376371009
Comune di Notaresco,81000390674,Poste Italiane S.P.A.,97103880585
Comune di Notaresco,81000390674,CREDEMTEL SpA,01378570350
Comune di Notaresco,81000390674,Optimia Srls,10893490960
Comune di Notaresco,81000390674,Abaco Spa,02391510266
Comune di Noto,00195880893,PagoPA SpA,15376371009
Comune di Noto,00195880893,Maggioli SPA,06188330150
Comune di Nova Levante,00251080214,PagoPA SpA,15376371009
Comune di Nova Levante,00251080214,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Nova Levante,00251080214,Alto Adige Riscossioni Spa,02805390214
Comune di Nova Milanese,01731060156,PagoPA SpA,15376371009
Comune di Nova Milanese,01731060156,Maggioli SPA,06188330150
Comune di Nova Milanese,01731060156,Regione Lombardia,80050050154
Comune di Nova Milanese,01731060156,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Nova Milanese,01731060156,Progetti e Soluzioni SPA,06423240727
Comune di Nova Milanese,01731060156,Open Software S.r.l.,02810000279
Comune di Nova Milanese,01731060156,San Marco SPA,04142440728
Comune di Nova Milanese,01731060156,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Nova Ponente,00405990219,PagoPA SpA,15376371009
Comune di Nova Ponente,00405990219,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Nova Ponente,00405990219,Alto Adige Riscossioni Spa,02805390214
Comune di Nova Siri,82001130770,Publisys SPA,00975860768
Comune di Nova Siri,82001130770,PagoPA SpA,15376371009
Comune di Nova Siri,82001130770,Regione Basilicata,80002950766
Comune di Novafeltria,00360640411,PagoPA SpA,15376371009
Comune di Novafeltria,00360640411,Lepida Spa,02770891204
Comune di Novafeltria,00360640411,E-Fil S.r.l.,03789750100
Comune di Novaledo,00289900227,Provincia Autonoma di Trento,00337460224
Comune di Novaledo,00289900227,PagoPA SpA,15376371009
Comune di Novalesa,00878080019,PagoPA SpA,15376371009
Comune di Novalesa,00878080019,APKAPPA S.R.L.,08543640158
Comune di Novalesa,00878080019,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Novara,00125680033,Regione Piemonte,80087670016
Comune di Novara,00125680033,PagoPA SpA,15376371009
Comune di Novara,00125680033,Maggioli SPA,06188330150
Comune di Novara,00125680033,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Novara,00125680033,Abaco Spa,02391510266
Comune di Novara,00125680033,APKAPPA S.R.L.,08543640158
Comune di Novara di Sicilia,00358500833,PagoPA SpA,15376371009
Comune di Novara di Sicilia,00358500833,APKAPPA S.R.L.,08543640158
Comune di Novate Mezzola,00104440144,San Marco SPA,04142440728
Comune di Novate Mezzola,00104440144,PagoPA SpA,15376371009
Comune di Novate Mezzola,00104440144,Regione Lombardia,80050050154
Comune di Novate Mezzola,00104440144,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",00053810149
Comune di Novate Milanese,02032910156,PagoPA SpA,15376371009
Comune di Novate Milanese,02032910156,Regione Lombardia,80050050154
Comune di Novate Milanese,02032910156,Advanced Systems S.p.A.,03383350638
Comune di Novate Milanese,02032910156,Progetti e Soluzioni SPA,06423240727
Comune di Nove,00295870240,PagoPA SpA,15376371009
Comune di Nove,00295870240,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Nove,00295870240,Regione del Veneto,80007580279
Comune di Novedrate,81003670130,PagoPA SpA,15376371009
Comune di Novedrate,81003670130,Maggioli SPA,06188330150
Comune di Novedrate,81003670130,CRESET Crediti Servizi e Tecnologie Spa,00868170143
Comune di Novella,02570500229,Provincia Autonoma di Trento,00337460224
Comune di Novella,02570500229,PagoPA SpA,15376371009
Comune di Novella,02570500229,E-Fil S.r.l.,03789750100
Comune di Novellara,00441550357,PagoPA SpA,15376371009
Comune di Novellara,00441550357,Lepida Spa,02770891204
Comune di Novellara,00441550357,Next Step Solution,02554480349
Comune di Novello,00520260043,Siscom SPA,01778000040
Comune di Novello,00520260043,Regione Piemonte,80087670016
Comune di Novello,00520260043,Technical Design s.r.l.,00595270042
Comune di Novello,00520260043,PagoPA SpA,15376371009
Comune di Noventa di Piave,00624120275,PagoPA SpA,15376371009
Comune di Noventa di Piave,00624120275,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Noventa di Piave,00624120275,Maggioli SPA,06188330150
Comune di Noventa di Piave,00624120275,Regione del Veneto,80007580279
Comune di Noventa Padovana,80009610280,PagoPA SpA,15376371009
Comune di Noventa Padovana,80009610280,Maggioli SPA,06188330150
Comune di Noventa Padovana,80009610280,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Noventa Padovana,80009610280,CREDEMTEL SpA,01378570350
Comune di Noventa Padovana,80009610280,Regione del Veneto,80007580279
Comune di Noventa Padovana,80009610280,Abaco Spa,02391510266
Comune di Noventa Vicentina,00480160241,Siscom SPA,01778000040
Comune di Noventa Vicentina,00480160241,PagoPA SpA,15376371009
Comune di Noventa Vicentina,00480160241,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Noventa Vicentina,00480160241,Regione del Veneto,80007580279
Comune di Novi di Modena,00224020362,PagoPA SpA,15376371009
Comune di Novi di Modena,00224020362,Lepida Spa,02770891204
Comune di Novi di Modena,00224020362,E-Fil S.r.l.,03789750100
Comune di Novi di Modena,00224020362,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Novi Ligure,00160310066,PagoPA SpA,15376371009
Comune di Novi Ligure,00160310066,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",00053810149
Comune di Novi Ligure,00160310066,Maggioli SPA,06188330150
Comune di Novi Ligure,00160310066,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Novi Ligure,00160310066,APKAPPA S.R.L.,08543640158
Comune di Novi Velia,84001350655,PagoPA SpA,15376371009
Comune di Novi Velia,84001350655,Noviservice srl,02789990922
Comune di Noviglio,80121990156,UNIMATICA-RGI S.p.A.,02098391200
Comune di Noviglio,80121990156,PagoPA SpA,15376371009
Comune di Noviglio,80121990156,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Noviglio,80121990156,San Marco SPA,04142440728
Comune di Noviglio,80121990156,APKAPPA S.R.L.,08543640158
Comune di Novoli,80001090754,PagoPA SpA,15376371009
Comune di Novoli,80001090754,Regione Puglia,80017210727
Comune di Novoli,80001090754,Dedagroup Public Services S.R.L.,01727860221
Comune di Novoli,80001090754,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Nucetto,00510590045,Regione Piemonte,80087670016
Comune di Nucetto,00510590045,PagoPA SpA,15376371009
Comune di Nucetto,00510590045,CREDEMTEL SpA,01378570350
Comune di Nughedu San Nicolo',00256970906,Numera Sistemi e Informatica SpA,01265230902
Comune di Nughedu San Nicolo',00256970906,PagoPA SpA,15376371009
Comune di Nughedu San Nicolo',00256970906,E-Fil S.r.l.,03789750100
Comune di Nughedu San Nicolo',00256970906,Maggioli SPA,06188330150
Comune di Nughedu Santa Vittoria,80005850955,Numera Sistemi e Informatica SpA,01265230902
Comune di Nughedu Santa Vittoria,80005850955,PagoPA SpA,15376371009
Comune di Nughedu Santa Vittoria,80005850955,Maggioli SPA,06188330150
Comune di Nule,81001030907,Numera Sistemi e Informatica SpA,01265230902
Comune di Nule,81001030907,PagoPA SpA,15376371009
Comune di Nule,81001030907,Regione Autonoma della Sardegna,80002870923
Comune di Nule,81001030907,CREDEMTEL SpA,01378570350
Comune di Nulvi,00276390903,PagoPA SpA,15376371009
Comune di Nulvi,00276390903,Regione Autonoma della Sardegna,80002870923
Comune di Nulvi,00276390903,CREDEMTEL SpA,01378570350
Comune di Numana,00113090427,PagoPA SpA,15376371009
Comune di Numana,00113090427,Regione Marche,80008630420
Comune di Numana,00113090427,E-Fil S.r.l.,03789750100
Comune di Numana,00113090427,ANDREANI TRIBUTI srl,01412920439
Comune di Numana,00113090427,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Nuoro,00053070918,PagoPA SpA,15376371009
Comune di Nuoro,00053070918,Abaco Spa,02391510266
Comune di Nuoro,00053070918,Dedagroup Public Services S.R.L.,01727860221
Comune di Nuoro,00053070918,Maggioli SPA,06188330150
Comune di Nurachi,00074700956,PagoPA SpA,15376371009
Comune di Nurachi,00074700956,Regione Autonoma della Sardegna,80002870923
Comune di Nuragus,81000190918,PagoPA SpA,15376371009
Comune di Nuragus,81000190918,Regione Autonoma della Sardegna,80002870923
Comune di Nurallao,81000130914,PagoPA SpA,15376371009
Comune di Nurallao,81000130914,Regione Autonoma della Sardegna,80002870923
Comune di Nuraminis,82002130928,PagoPA SpA,15376371009
Comune di Nuraminis,82002130928,Progetti e Soluzioni SPA,06423240727
Comune di Nuraminis,82002130928,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Nureci,80007460951,PagoPA SpA,15376371009
Comune di Nureci,80007460951,Regione Autonoma della Sardegna,80002870923
Comune di Nureci,80007460951,Numera Sistemi e Informatica SpA,01265230902
Comune di Nurri,81000150912,PagoPA SpA,15376371009
Comune di Nurri,81000150912,Regione Autonoma della Sardegna,80002870923
Comune di Nurri,81000150912,eRemind srl – PMPAY,11311050964
Comune di Nus,00108130071,PagoPA SpA,15376371009
Comune di Nus,00108130071,Regione Autonoma Valle D'Aosta,80002270074
Comune di Nusco,82001350642,PagoPA SpA,15376371009
Comune di Nusco,82001350642,Poste Italiane S.P.A.,97103880585
Comune di Nusco,82001350642,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Nusco,82001350642,CREDEMTEL SpA,01378570350
Comune di Nuvolento,00666520176,PagoPA SpA,15376371009
Comune di Nuvolento,00666520176,Softline srl,12299030150
Comune di Nuvolento,00666520176,Maggioli SPA,06188330150
Comune di Nuvolento,00666520176,Regione Lombardia,80050050154
Comune di Nuvolento,00666520176,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Nuvolera,80013950177,PagoPA SpA,15376371009
Comune di Nuvolera,80013950177,Softline srl,12299030150
Comune di Nuvolera,80013950177,Maggioli SPA,06188330150
Comune di Nuvolera,80013950177,Regione Lombardia,80050050154
Comune di Nuvolera,80013950177,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Nuxis,81003590924,PagoPA SpA,15376371009
Comune di Nuxis,81003590924,Regione Autonoma della Sardegna,80002870923
Comune di Occhieppo Inferiore,00351490024,Siscom SPA,01778000040
Comune di Occhieppo Inferiore,00351490024,PagoPA SpA,15376371009
Comune di Occhieppo Inferiore,00351490024,CREDEMTEL SpA,01378570350
Comune di Occhieppo Superiore,81001490028,Siscom SPA,01778000040
Comune di Occhieppo Superiore,81001490028,PagoPA SpA,15376371009
Comune di Occhieppo Superiore,81001490028,Maggioli SPA,06188330150
Comune di Occhiobello,00131010290,PagoPA SpA,15376371009
Comune di Occhiobello,00131010290,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Occhiobello,00131010290,Regione del Veneto,80007580279
Comune di Occimiano,00485900062,Siscom SPA,01778000040
Comune di Occimiano,00485900062,PagoPA SpA,15376371009
Comune di Occimiano,00485900062,Advanced Systems S.p.A.,03383350638
Comune di Ocre,80002850669,PagoPA SpA,15376371009
Comune di Ocre,80002850669,Mercurio Service spa,01413270669
Comune di Odalengo Grande,82007860065,Siscom SPA,01778000040
Comune di Odalengo Grande,82007860065,PagoPA SpA,15376371009
Comune di Odalengo Piccolo,00447810060,Siscom SPA,01778000040
Comune di Odalengo Piccolo,00447810060,Regione Piemonte,80087670016
Comune di Odalengo Piccolo,00447810060,PagoPA SpA,15376371009
Comune di Oderzo,00252240262,PagoPA SpA,15376371009
Comune di Oderzo,00252240262,Maggioli SPA,06188330150
Comune di Oderzo,00252240262,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Oderzo,00252240262,Progetti e Soluzioni SPA,06423240727
Comune di Oderzo,00252240262,Regione del Veneto,80007580279
Comune di Oderzo,00252240262,Abaco Spa,02391510266
Comune di Odolo,00639430172,PagoPA SpA,15376371009
Comune di Odolo,00639430172,Regione Lombardia,80050050154
Comune di Odolo,00639430172,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Odolo,00639430172,Softline srl,12299030150
Comune di Ofena,80004410660,PagoPA SpA,15376371009
Comune di Ofena,80004410660,Mercurio Service spa,01413270669
Comune di Offagna,80010010421,PagoPA SpA,15376371009
Comune di Offagna,80010010421,Regione Marche,80008630420
Comune di Offanengo,00299140194,PagoPA SpA,15376371009
Comune di Offanengo,00299140194,Etruria p.a. S.r.l.,05883740481
Comune di Offanengo,00299140194,Regione Lombardia,80050050154
Comune di Offanengo,00299140194,Consorzio I.T. Srl,01321400192
Comune di Offida,00136120441,PagoPA SpA,15376371009
Comune di Offida,00136120441,Regione Marche,80008630420
Comune di Offida,00136120441,E-Fil S.r.l.,03789750100
Comune di Offlaga,88000970173,PagoPA SpA,15376371009
Comune di Offlaga,88000970173,Maggioli SPA,06188330150
Comune di Offlaga,88000970173,Regione Lombardia,80050050154
Comune di Offlaga,88000970173,eRemind srl – PMPAY,11311050964
Comune di Offlaga,88000970173,Abaco Spa,02391510266
Comune di Oggebbio,84003540030,Siscom SPA,01778000040
Comune di Oggebbio,84003540030,PagoPA SpA,15376371009
Comune di Oggebbio,84003540030,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Oggebbio,84003540030,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",00053810149
Comune di Oggiona con Santo Stefano,00309390128,San Marco SPA,04142440728
Comune di Oggiona con Santo Stefano,00309390128,PagoPA SpA,15376371009
Comune di Oggiona con Santo Stefano,00309390128,Regione Lombardia,80050050154
Comune di Oggiona con Santo Stefano,00309390128,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Oggiono,00566690137,PagoPA SpA,15376371009
Comune di Oggiono,00566690137,Regione Lombardia,80050050154
Comune di Oggiono,00566690137,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Oggiono,00566690137,San Marco SPA,04142440728
Comune di Oggiono,00566690137,CRESET Crediti Servizi e Tecnologie Spa,00868170143
Comune di Oglianico,85501390018,Siscom SPA,01778000040
Comune di Oglianico,85501390018,PagoPA SpA,15376371009
Comune di Ogliastro Cilento,81000650655,PagoPA SpA,15376371009
Comune di Ogliastro Cilento,81000650655,Poste Italiane S.P.A.,97103880585
Comune di Ogliastro Cilento,81000650655,Noviservice srl,02789990922
Comune di Ogliastro Cilento,81000650655,CREDEMTEL SpA,01378570350
Comune di Olbia,91008330903,PagoPA SpA,15376371009
Comune di Olbia,91008330903,Maggioli SPA,06188330150
Comune di Olbia,91008330903,Regione Autonoma della Sardegna,80002870923
Comune di Olbia,91008330903,Progetti e Soluzioni SPA,06423240727
Comune di Olbia,91008330903,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Comune di Olbia,91008330903,Abaco Spa,02391510266
Comune di Olcenengo,80003330026,Siscom SPA,01778000040
Comune di Olcenengo,80003330026,PagoPA SpA,15376371009
Comune di Oldenico,00425310026,Siscom SPA,01778000040
Comune di Oldenico,00425310026,Regione Piemonte,80087670016
Comune di Oldenico,00425310026,PagoPA SpA,15376371009
Comune di Oleggio,00165200031,PagoPA SpA,15376371009
Comune di Oleggio,00165200031,Siscom SPA,01778000040
Comune di Oleggio,00165200031,E-Fil S.r.l.,03789750100
Comune di Oleggio,00165200031,Progetti e Soluzioni SPA,06423240727
Comune di Oleggio,00165200031,San Marco SPA,04142440728
Comune di Oleggio Castello,00165190034,Siscom SPA,01778000040
Comune di Oleggio Castello,00165190034,San Marco SPA,04142440728
Comune di Oleggio Castello,00165190034,PagoPA SpA,15376371009
Comune di Olevano di Lomellina,83001090188,PagoPA SpA,15376371009
Comune di Olevano di Lomellina,83001090188,Poste Italiane S.P.A.,97103880585
Comune di Olevano Romano,02189120583,PagoPA SpA,15376371009
Comune di Olevano Romano,02189120583,CREDEMTEL SpA,01378570350
Comune di Olevano sul Tusciano,00554730655,PagoPA SpA,15376371009
Comune di Olevano sul Tusciano,00554730655,Maggioli SPA,06188330150
Comune di Olevano sul Tusciano,00554730655,CREDEMTEL SpA,01378570350
Comune di Olevano sul Tusciano,00554730655,Sintax s.r.l.,02177970783
Comune di Olgiate Comasco,00417080132,PagoPA SpA,15376371009
Comune di Olgiate Comasco,00417080132,Maggioli SPA,06188330150
Comune di Olgiate Comasco,00417080132,Regione Lombardia,80050050154
Comune di Olgiate Comasco,00417080132,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Olgiate Comasco,00417080132,San Marco SPA,04142440728
Comune di Olgiate Molgora,85001390138,San Marco SPA,04142440728
Comune di Olgiate Molgora,85001390138,PagoPA SpA,15376371009
Comune di Olgiate Molgora,85001390138,Maggioli SPA,06188330150
Comune di Olgiate Molgora,85001390138,Open Software S.r.l.,02810000279
